Reusing configuration cache.
> Task :archiveCore:preBuild UP-TO-DATE
> Task :mobiCore:generateDebugAssets UP-TO-DATE
> Task :androidApp:syncBrandAsset UP-TO-DATE
> Task :shared:processAndroidHostTestJavaRes NO-SOURCE
> Task :archiveCore:preDebugBuild UP-TO-DATE
> Task :shared:androidPreBuild UP-TO-DATE
> Task :mobiCore:preBuild UP-TO-DATE
> Task :archiveCore:generateDebugAssets UP-TO-DATE
> Task :pdfiumNative:preBuild UP-TO-DATE
> Task :androidApp:syncReaderAssets UP-TO-DATE
> Task :shared:preAndroidMainBuild UP-TO-DATE
> Task :shared:preAndroidHostTestBuild UP-TO-DATE
> Task :mobiCore:preDebugBuild UP-TO-DATE
> Task :pdfiumNative:preDebugBuild UP-TO-DATE
> Task :archiveCore:processDebugNavigationResources UP-TO-DATE
> Task :shared:kmpPartiallyResolvedDependenciesChecker
> Task :androidApp:syncReaderTestFb2Assets UP-TO-DATE
> Task :shared:checkKotlinGradlePluginConfigurationErrors SKIPPED
> Task :shared:androidJar UP-TO-DATE
> Task :archiveCore:javaPreCompileDebug UP-TO-DATE
> Task :generateDesignTokens UP-TO-DATE
> Task :archiveCore:writeDebugAarMetadata UP-TO-DATE
> Task :shared:generateAndroidMainEmptyResourceFiles UP-TO-DATE
> Task :pdfiumNative:processDebugNavigationResources UP-TO-DATE
> Task :mobiCore:processDebugNavigationResources UP-TO-DATE
> Task :archiveCore:generateDebugResources UP-TO-DATE
> Task :pdfiumNative:javaPreCompileDebug UP-TO-DATE
> Task :androidApp:preBuild UP-TO-DATE
> Task :mobiCore:javaPreCompileDebug UP-TO-DATE
> Task :androidApp:preDebugBuild UP-TO-DATE
> Task :mobiCore:generateDebugResources UP-TO-DATE
> Task :pdfiumNative:generateDebugResources UP-TO-DATE
> Task :archiveCore:extractDeepLinksDebug UP-TO-DATE
> Task :androidApp:preDebugUnitTestBuild UP-TO-DATE
> Task :pdfiumNative:extractDeepLinksDebug UP-TO-DATE
> Task :mobiCore:writeDebugAarMetadata UP-TO-DATE
